"","old score","sentence1","sentence2","label","score"
"15","4.4","افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند","افراد نقاب دار در یک جنگل به همان سمت نگاه می کنند","5","4"
"16","3.2","افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند","افرادی که لباس می پوشند در جنگلی پراکنده می شوند و به جهات مختلف نگاه می کنند","4","3"
"17","3.635","مردم به برخی لباس های جمع شده در مجاورت جنگل نگاه می کنند","افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند","5","4"
"18","2.4","یک دختر کوچک به دنبال زنی با لباس است","افرادی که لباس می پوشند در جنگلی پراکنده می شوند و به جهات مختلف نگاه می کنند","5","2"
"19","2.6","یک دختر کوچک به دنبال زنی با لباس است","مردم به برخی لباس های جمع شده در مجاورت جنگل نگاه می کنند","5","3"
"20","2.2","دختر جوانی در حال تماشای زنی با لباس است","افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند","5","2"
"21","3","افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند","دختر بچه به دنبال مردی با لباس است","5","3"
"22","2","افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند","یک دختر بچه با لباس شبیه یک زن است","5","2"
"23","5","یک موتورسوار تنها در حال پریدن در هوا است","یک دوچرخه سوار در حال پریدن در هوا است ، به تنهایی","5","5"
"24","4.2","هیچ دوچرخه سواری در هوا نمی پرد","یک موتورسوار تنها در حال پریدن در هوا است","4","4"
"25","3","مردی در حال پریدن به داخل یک استخر خالی است","مردی در حال پریدن در یک استخر پر است","0","3"
"26","1.7","یک موتورسوار تنها در حال پریدن در هوا است","مردی در حال پریدن در یک استخر پر است","5","2"
"27","1.5","یک موتورسوار تنها در حال پریدن در هوا است","مردی در حال پریدن به داخل یک استخر خالی است","5","2"
"28","4.3","مردی که بازی می کند در حالی که توپ را در دست دارد می دود","بازیکنی با توپ در حال دویدن است","5","4"
"29","2.1","دو گروه از مردم فوتبال بازی می کنند","بازیکنی با توپ در حال دویدن است","5","2"
"30","3","دو تیم در یک بازی بیس بال با هم رقابت می کنند","بازیکنی با توپ در حال دویدن است","5","3"
"31","2.6","بازیکنی با توپ در حال دویدن است","دو تیم در یک مسابقه فوتبال با هم رقابت می کنند","5","3"
"32","3.2","پنج پایه چوبی جلوی کلبه هر کودک است","پنج کودک مقابل کلبه ای چوبی ایستاده اند","4","3"
"33","3.7","پنج بچه نزدیک هم ایستاده اند و یک بچه اسلحه دارد","پنج بچه نزدیک هم ایستاده اند و هیچ کدام از بچه ها اسلحه ندارند","2","4"
"34","2.6","پنج بچه نزدیک هم ایستاده اند و هیچ کدام از بچه ها اسلحه ندارند","پنج کودک مقابل کلبه ای چوبی ایستاده اند","2","3"
"35","2.7","پنج کودک در یک کلبه چوبی ایستاده اند","پنج بچه نزدیک هم ایستاده اند و یک بچه اسلحه دارد","2","3"
"36","2.3","پنج پایه چوبی جلوی کلبه هر کودک است","پنج بچه نزدیک هم ایستاده اند و یک بچه اسلحه دارد","5","2"
"37","4.4","پیرمردی در مزرعه ای نشسته است","مردی در مزرعه ای نشسته است","0","4"
"38","2.6","مردی در مزرعه ای نشسته است","مردی در مزرعه ای می دود","0","3"
"39","4.1","شخصی کلاه به سر دارد و روی چمن ها نشسته است","شخصی در مزرعه ای نشسته و کلاهی به سر دارد","4","4"
"40","3.9","یک آهو در حال پریدن از روی حصار است","گوزن از روی حصار نمی پرد","3","4"
"41","3.4","مردم در داخل ساختمانی قدم می زنند که نقاشی های دیواری زیادی روی آن قرار دارد","مردم در حال قدم زدن در بیرون از ساختمانی هستند که نقاشی های دیواری زیادی روی آن قرار دارد","4","3"
"42","3.5","چند نفر جلوی یک ساختمان رنگارنگ هستند","هیچ کس جلوی ساختمان رنگارنگ نیست","4","4"
"43","3.6","مردم در حال قدم زدن در بیرون از ساختمانی هستند که نقاشی های دیواری زیادی روی آن قرار دارد","هیچ کس جلوی ساختمان رنگارنگ نیست","4","4"
"44","3.6","مردم در حال قدم زدن در خارج از ساختمانی هستند که چندین نقاشی دیواری روی آن قرار دارد","چند نفر جلوی یک ساختمان رنگارنگ هستند","4","4"
"45","3.2","افراد مختلف در میزهای قرمز یک رستوران شلوغ با چراغ های بنفش مشغول غذا خوردن هستند","گروه کوچکی از مردم منتظر غذا در یک رستوران هستند","4","3"
"46","4.6","یک موتورسوار در حالی که به طرز خطرناکی در حال عبور از یک جاده در حال موتور سواری است","یک موتورسوار در امتداد جاده ای در حال موتور سواری است","4","5"
"47","4.8","مردی با کلاه ایمنی قرمز رنگ در حال رانندگی با موتور سیکلت آبی در جاده است","یک موتورسوار با کلاه ایمنی قرمز در حال رانندگی با موتور سیکلت آبی در جاده است","4","5"
"48","3.3","یک موتورسوار بدون کلاه ایمنی با موتور سیکلت آبی نزدیک جاده منتظر است","یک موتورسوار در امتداد جاده ای در حال موتور سواری است","4","3"
"49","3.7","دو سگ کنار درخت بازی می کنند","سگی در حال گرفتن چوب در هوا است و دیگری در حال تماشای آن است","3","4"
"50","2.7","دو سگ کنار درخت بازی می کنند","هیچ سگی در هوا نمی پرد","3","3"
"51","4","دختری سفید پوش در حال رقصیدن است","رقصنده در مقابل تجهیزات صدا در حال رقصیدن است","4","4"
"52","3.3","دختری سفید پوش در حال رقصیدن است","دختر بور پشت تجهیزات صدا می رقصد","1","3"
"53","3.5","دختری لباس سفید پوشیده و در حال رقص است","دختر بور مقابل تجهیزات صدا در حال رقصیدن است","1","4"
"54","3.7","سه بچه آسیایی می رقصند و یک مرد نگاه می کند","یک مرد آسیایی در حال رقص است و سه بچه در جستجوی او هستند","5","4"
"55","2.3","فرزندان یک خانواده با حوصله بازی می کنند و منتظرند","سه بچه آسیایی می رقصند و یک مرد نگاه می کند","2","2"
"56","4.3","زنی کلاه مصری بر سر دارد","زنی از روسری مصری استفاده می کند","1","4"
"57","4","زنی از روسری مصری استفاده می کند","زنی از روسری هندی استفاده می کند","1","4"
"58","2.5","یک کوهنورد در بالای کوه است و در حال رقص است","یک مرد روی صخره ای بالاتر از برخی درختان قرار دارد و در موقعیت ناراحتی ایستاده است","5","3"
"59","2.5","یک کوهنورد در بالای کوه است و در حال رقص است","هیچ مردی روی صخره ای بالاتر از برخی درختان نیست که در موقعیت عجیبی ایستاده باشد","5","3"
"60","4.1","پسری در آب سرد ایستاده است","پسری در آب ایستاده است","0","4"
"61","3.6","مردی روی صحنه مشغول نواختن گیتار است","هیچ مردی روی صحنه گیتار نمی زند","0","4"
"62","3.8","مردی روی صحنه مشغول نواختن گیتار است","شخص کچلی در حال نواختن گیتار است","5","4"
"63","4.4","دو دختر جوان روی زمین نشسته اند","دو دختر روی زمین نشسته اند","1","4"
"64","4.3","گروهی از مردم در نزدیکی اقیانوس هستند","جمعیت زیادی نزدیک آب هستند","4","4"
"65","3.8","جمعیت زیادی نزدیک آب هستند","جمعیت زیادی از آب دور هستند","4","4"
"66","4","گروهی از مردم در ساحل هستند","گروهی از مردم نزدیک دریا هستند","4","4"
"67","2.6","گروهی از مردم در ساحل هستند","گروهی از مردم در کوه هستند","4","3"
"68","4.5","یک مرد ، یک زن و دو دختر در حال قدم زدن در ساحل هستند","چهار نفر در ساحل قدم می زنند","5","5"
"69","4.6","گروهی از مردم در ساحل هستند","چهار نفر در ساحل قدم می زنند","5","5"
"70","1.4","یک مرد ، یک زن و دو دختر در حال قدم زدن در ساحل هستند","گروهی از مردم در کوه هستند","5","1"
"71","4.3","یک مرد ، یک زن و دو دختر در حال قدم زدن در ساحل هستند","گروهی از مردم در ساحل هستند","5","4"
"72","4.7","یک دختر مدرسه ای با کیسه سیاه در قطاری شلوغ است","دختری با کیسه سیاه در قطاری شلوغ است","1","5"
"73","3.7","در قطار شلوغ دختری با کیف سیاه وجود ندارد","دختری با کیسه سیاه در قطاری شلوغ است","1","4"
"74","3.8","یک زن آسیایی در میان جمعیت کیسه ای سیاه به همراه ندارد","یک زن آسیایی در میان جمعیت یک کیف سیاه به همراه دارد","1","4"
"75","2.5","دختری با کیسه سیاه در قطاری شلوغ است","یک زن آسیایی در میان جمعیت کیسه ای سیاه به همراه ندارد","1","3"
"76","2.8","یک دختر مدرسه ای با کیسه سیاه در قطاری شلوغ است","یک زن آسیایی در میان جمعیت یک کیف سیاه به همراه دارد","1","3"
"77","4.6","سگی در حال تعقیب دیگری است و چوبی را در دهان خود نگه داشته است","سگی در حال تعقیب دیگری است و یک تکه چوب را در دهان خود نگه داشته است","3","5"
"78","4.3","دو سگ می دوند و یک اسباب بازی را در دهان خود حمل می کنند","دو سگ در حال دویدن هستند و شیئی را در دهان خود حمل می کنند","3","4"
"79","3.9","سگی در حال تعقیب دیگری است و یک تکه چوب را در دهان خود نگه داشته است","دو سگ در حال دویدن هستند و شیئی را در دهان خود حمل می کنند","3","4"
"80","4","سگی در حال تعقیب دیگری است و چوبی را در دهان خود نگه داشته است","دو سگ در حال دویدن هستند و شیئی را در دهان خود حمل می کنند","3","4"
"81","4.3","یک توپ فوتبال در تور دروازه می چرخد","یک بازیکن فوتبال توپ را به دروازه می زند","5","4"
"82","4.4","مرد خالکوبی روی کاناپه خوابیده و مداد را در دست دارد","مرد خالکوبی روی مبل است و مداد را در دست دارد","0","4"
"83","2.1","مردی روی صندلی نشسته و چشمان خود را می مالد","مردی با خالکوبی روی کاناپه خوابیده و به دنبال مداد است","0","2"
"84","2","مردی با خالکوبی ، یک کاناپه را با مداد در دست گرفته است","مردی روی صندلی نشسته و چشمان خود را می مالد","0","2"
"85","4.8","مردی با لباسهای پوشیده از رنگ ، بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد","مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد","0","5"
"86","3.7","یک مرد نشسته مشغول نوشتن چیزی در منطقه ای است که توسط رنگ پوشانده شده است","مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد","0","4"
"87","4.2","مردی نزدیک دوچرخه نشسته و در حال نوشتن یادداشت است","هیچ مردی در حال نوشتن یادداشت در نزدیکی دوچرخه نیست","0","4"
"88","2.6","مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد","مردی نزدیک دوچرخه ایستاده است و دارد روی کاغذی می نویسد","0","3"
"89","2.7","هیچ مردی در حال نوشتن یادداشت در نزدیکی دوچرخه نیست","مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد","0","3"
"90","3.1","مردی نزدیک دوچرخه نشسته و در حال نوشتن یادداشت است","مردی با لباسهای پوشیده از رنگ ، بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد","0","3"
"91","3.5","گروهی از پیشاهنگان در چمنزارها اردو می زنند","گروهی از پیشاهنگان در حال پیاده روی در میان چمن ها هستند","4","4"
"92","4.7","برخی از افراد در حال قدم زدن هستند","مردم راه می روند","5","5"
"93","1.5","برخی از افراد در حال قدم زدن هستند","گروهی از پیشاهنگان در چمنزارها اردو می زنند","5","2"
"94","3","دو مرد در حال استراحت از سفر در جاده ای برفی هستند","دو مرد هنگام سفر در جاده ای برفی در حال سوار شدن به اتومبیل هستند","0","3"
"95","4.3","دو مرد تیرهای ماهیگیری را در دست دارند","دو مرد نزدیک آب ایستاده اند و ابزارهایی را که برای ماهیگیری استفاده می شود ، در دست دارند","0","4"
"96","4.3","یک زن در حال اجرا یک ترفند در یک سطح شیب دار با دوچرخه است","خانمی با دوچرخه می پرد","1","4"
"97","2.4","یک زن در حال اجرا یک ترفند در یک سطح شیب دار با دوچرخه است","یک زن در حال انجام یک شگرد در یک سطح شیب دار با ماشین است","1","2"
"98","2.9","دختری با کلاه ایمنی در حال دوچرخه سواری است","یک زن در حال اجرا یک ترفند در یک سطح شیب دار با دوچرخه است","1","3"
"99","4.7","یک دختر بور در حال گشت و گذار است","دختری بور موج سواری می کند","1","5"
"100","3.5","خانمی در حال موج سواری و موج سواری است","پسری در حال موج سواری و موج سواری است","5","4"
"101","4","یک زن در حال گشت و گذار است","دختری بور موج سواری می کند","1","4"
"102","3.6","خانمی در حال موج سواری و موج سواری است","یک دختر بور در حال گشت و گذار است","1","4"
"103","3","دو کودک و یک بزرگسال کنار اندام درخت ایستاده اند","دو کودک در حال بالا رفتن از یک درخت هستند","2","3"
"104","3.5","مردی که لباس سیاه پوشیده است در حال دوچرخه سواری است","مردی در حال اجرای ترفند با دوچرخه است","0","4"
"105","3.4","هیچ مردی با لباس سیاه و دوچرخه سبز وجود ندارد","مردی با دوچرخه سبز ترفند می زند","0","3"
"106","4","کودکی که می خندد اسلحه آب در دست دارد و با آب پاشیده می شود","کودکی با اسلحه ای که آب پاشش می کند در حال خندیدن و ضربه خوردن توسط پسران دیگر است","2","4"
"107","4","هیچ کودکی اسلحه آب در دست ندارد و یا با آب پاشیده نمی شود","کودکی که می خندد اسلحه آب در دست دارد و با آب پاشیده می شود","2","4"
"108","4.2","دو داشوند با توپ قرمز بازی می کنند","دو سگ با یک توپ کوچک قرمز بازی می کنند","3","4"
"109","3.3","دو گربه با یک توپ قرمز بازی می کنند","دو داشوند با توپ قرمز بازی می کنند","3","3"
"110","3.8","دو سگ قهوه ای بر سر یک توپ قرمز درگیر شده و در چمن بازی می کنند","دو سگ با یک توپ کوچک قرمز بازی می کنند","3","4"
"111","3","هیچ سگی با توپ قرمز بازی نمی کند","دو داشوند با توپ قرمز بازی می کنند","3","3"
"112","4.9","سگ سیاه و سفید در حال دویدن است و شخصی پشت سر آن ایستاده است","سگ که سیاه و سفید است در حال دویدن است و شخصی پشت سر آن می ایستد","3","5"
"113","3","سگ سیاه و سفید در حال دویدن است و شخصی پشت سر آن ایستاده است","یک سگ کوچک در حال دویدن است و شخصی که صاحب آن است سعی دارد آن را صید کند","3","3"
"114","2.9","سگ سیاه و سفید در حال دویدن است و شخصی پشت سر آن ایستاده است","سگ کوچکی سرعت خود را کم می کند و صاحب آن در حال تعقیب آن است","3","3"
"115","4.7","مردی که پیراهن مشکی رنگ شده ای روی میز نشسته و می خندد","پیراهن مشکی را مردی می پوشد که پشت میز نشسته و می خندد","0","5"
"116","3.5","پیراهن مشکی را مردی می پوشد که پشت میز نشسته و می خندد","مردی به راحتی پشت یک میز نشسته است","0","4"
"117","3.9","مردی به راحتی پشت یک میز نشسته است","مردی که پیراهن مشکی رنگ شده ای روی میز نشسته و می خندد","0","4"
"118","3.7","زنی که روسری صورتی به سر دارد از روی پل ساخته شده برای عابران پیاده دوچرخه سواری می کند","زنی که شلوار نقره ای ، زنگوله های صورتی و روسری صورتی دارد ، در حال دوچرخه سواری است","1","4"
"119","3.315","یک دوچرخه سوار برهنه است","یک دوچرخه سوار دنده ای به تن دارد که سیاه است","4","3"
"120","2.6","یک مرد کلاه ایمنی به سر دارد و دوچرخه را هل می دهد","یک دوچرخه سوار برهنه است","5","3"
"121","4.9","مردی با تی شرت خاکستری روی صخره ای مقابل آبشار نشسته است","مردی با تی شرت رنگ خاکستری رنگ ، روی صخره ای مقابل آبشار نشسته است","0","5"
"122","3.1","زنی ایستاده است و به آبشار نگاه نمی کند","زنی نشسته و به آبشار نگاه می کند","1","3"
"123","2.5","زنی ایستاده است و به آبشار نگاه نمی کند","مردی با تی شرت خاکستری روی صخره ای مقابل آبشار نشسته است","5","3"
"124","3.1","مردی با تی شرت رنگ خاکستری رنگ ، روی صخره ای مقابل آبشار نشسته است","زنی نشسته و به آبشار نگاه می کند","5","3"
"125","1.9","هیچ مردی با تی شرت خاکستری روی صخره ای مقابل آبشار نشسته است","زنی نشسته و به آبشار نگاه می کند","5","2"
"126","2.5","زنی نشسته و به آبشار نگاه می کند","یک راکر با یک تی شرت نشسته است که یک مرد روی یک آبشار خاکستری در جلو دارد","5","3"
"127","3.4","یک سگ که قهوه ای است و یک سیاه در چمن ها می دوند","هیچ سگی در چمن ها نمی دود","3","3"
"128","4.9","یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط پشت بازی مشغول بازی هستند","یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط خانه بازی می کنند","3","5"
"129","4","یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط پشت بازی مشغول بازی هستند","یک سگ که قهوه ای است و یک سیاه در چمن ها می دوند","3","4"
"130","3.6","یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط خانه در حال جنگ هستند","یک سگ که قهوه ای است و یک سیاه در چمن ها می دوند","3","4"
"131","3.1","هیچ سگی در چمن ها نمی دود","یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط خانه بازی می کنند","3","3"
"132","4.5","یک سگ سفید و قهوه ای به سختی در میان آب قدم می زند","یک سگ سفید و قهوه ای به سختی در آب قدم می زند","3","5"
"133","3.5","گروهی از پسران در مقابل در بزرگی که از چوب ساخته شده ساکت هستند","گروهی از پسران در جلوی در بزرگی که از چوب ساخته شده با یک توپ بازی می کنند","0","4"
"134","3.4","بچه ها جلوی در بزرگی بازی نمی کنند","گروهی از پسران در جلوی در بزرگی که از چوب ساخته شده با یک توپ بازی می کنند","5","3"
"135","3.4","دسته ای از پسران در جلوی در بزرگ ساخته شده از چوب با یک توپ بازی می کنند","بچه ها جلوی یک در بزرگ بازی می کنند","5","3"
"136","3.4","بچه ها جلوی یک در بزرگ بازی می کنند","گروهی از پسران در مقابل در بزرگی که از چوب ساخته شده ساکت هستند","5","3"
"137","5","یک خانم جوان با موهای قهوه ای روشن گردنبند قرمز ، ژاکت و گوشواره بسته و لبخند می زند","یک خانم با سن کم ، موهای قهوه ای روشن ، گردنبند قرمز ، ژاکت و گوشواره دارد و لبخند می زند","1","5"
"138","2.2","پسری در حال بالا رفتن از دیواری است که به طور مصنوعی برای کوهنوردی ساخته شده و به یک طناب متصل شده است","یک پسر کوهنورد گربه ترسناک را از بالای دیوار نجات می دهد","0","2"
"139","4.1","یک پسر کوچک ترسیده روی یک دیوار کوهنوردی قرار دارد","پسری بدون زحمت از دیواری که برای صعود مصنوعی ساخته شده است بالا می رود و به یک طناب متصل است","0","4"
"140","3.9","پسری در حال بالا رفتن از دیواری است که به طور مصنوعی برای کوهنوردی ساخته شده و به یک طناب متصل شده است","یک پسر کوچک ترسیده روی یک دیوار کوهنوردی قرار دارد","0","4"
"141","4.8","این مرد در حال پرتاب یک بچه به استخر شنای نزدیک اقیانوس است","یک مرد در حال پرتاب یک بچه به استخر شنای نزدیک اقیانوس است","0","5"
"142","2.515","پدری هنگام راه اندازی دخترانش در استخر شنا است","این مرد در حال پرتاب یک بچه به استخر شنای نزدیک اقیانوس است","0","3"
"143","3.9","شخصی با طنابی جلوی سنگ ایستاده است که صورتی است","شخصی در حال بالا رفتن از صخره ای با طناب است که صورتی است","4","4"
"144","3.4","یک مرد با طناب از صخره بالا می رود","شخصی با طنابی جلوی سنگ ایستاده است که صورتی است","5","3"
"145","4.1","شخصی در حال بالا رفتن از صخره ای با طناب است که صورتی است","یک مرد با طناب از صخره بالا می رود","5","4"
"146","2.8","شخصی در حال بالا رفتن از صخره ای با طناب است که صورتی است","یک مرد با طناب از صخره پایین می آید","5","3"
"147","2.685","شخصی در حال بالا رفتن از صخره ای با طناب است که صورتی است","یک کوهنورد اجتماعی مردی را با طناب به صخره می بندد","5","3"
"148","4.1","پسر جوانی از دیواری که از سنگ ساخته شده بالا نمی رود","پسر جوان در حال بالا رفتن از دیوار ساخته شده از سنگ است","0","4"
"149","4.7","یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد","یک بچه جوان در حال صعود از یک دیوار سنگ نوردی است که در داخل خانه است","2","5"
"150","3.2","یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد","کودکی در فضای بسته در حال تماشای برنامه ای درباره چند کوهنورد جوان بر روی دیواره سنگ است.","2","3"
"151","3.4","کودکی در فضای بسته در حال تماشای برنامه ای درباره چند کوهنورد جوان بر روی دیواره سنگ است.","پسر جوان در حال بالا رفتن از دیوار ساخته شده از سنگ است","5","3"
"152","4.3","یک پسر جوان در حال بالا رفتن از دیواری است که از سنگ ساخته شده است","یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد","5","4"
"153","2.9","یک کوهنورد جوان برای پسران دیوار سنگ درست می کند","یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد","5","3"
"154","3.8","دوچرخه سوار در حال انجام یک ترفند در هوا است","دوچرخه سوار ترفندی در هوا اجرا نمی کند","4","4"
"155","4.9","یک سگ که سیاه است و یک سفید در خیابان به یکدیگر خیره شده اند","یک سگ که سیاه است و دیگری که سفید است در خیابان به یکدیگر خیره شده اند","3","5"
"156","3.1","یک سگ که سیاه است و یک سفید در خیابان به یکدیگر خیره شده اند","یک سگ سفید به خیابان سیاه خیره شده است","3","3"
"157","4.6","دو سگ از نژادهای مختلف در آن سوی خیابان با عصبانیت به یکدیگر نگاه می کنند","دو سگ از نژادهای مختلف در آن سوی خیابان به یکدیگر نگاه می کنند","3","5"
"158","3.9","دو سگ از نژادهای مختلف در آن سوی خیابان به یکدیگر نگاه می کنند","هیچ سگی از نژادهای مختلف در خیابان ها به یکدیگر نگاه نمی کنند","3","4"
"159","4.1","یک سگ که سیاه است و دیگری که سفید است در خیابان به یکدیگر خیره شده اند","دو سگ از نژادهای مختلف در آن سوی خیابان به یکدیگر نگاه می کنند","3","4"
"160","3.4","سگی در کنار درخت ، که احتمالاً یک کاج است ، در حال انداختن یک سطل است","سگی در کنار درخت که احتمالاً یک کاج است ، دارد سطلی را گاز می گیرد","3","3"
"161","5","سگی پشمالو و سیاه در حیاط خانه است و سبدی را در دهان خود حمل می کند.","سگی پشمالو و سیاه در حیاط پشتی است و سبدی را در دهان خود حمل می کند","3","5"
"162","3.7","سگی پشمالو و سیاه در حیاط پشتی است و سبدی را در دهان خود حمل می کند","هیچ سگی در حیاط پشتی خزدار و سیاه پوست وجود ندارد که سبدی را در دهان خود حمل کند.","3","4"
"163","3.2","سگی در کنار درخت که احتمالاً یک کاج است ، دارد سطلی را گاز می گیرد","هیچ سگی در حیاط پشتی خزدار و سیاه پوست وجود ندارد که سبدی را در دهان خود حمل کند.","3","3"
"164","3.4","سگی در حیاط پشتی خز سیاه را در سبدی در دهان خود حمل می کند.","سگی در کنار درخت که احتمالاً یک کاج است ، دارد سطلی را گاز می گیرد","3","3"
"165","2.8","سگی پشمالو و سیاه در حیاط پشتی است و سبدی را در دهان خود حمل می کند","سگی در کنار درخت ، که احتمالاً یک کاج است ، در حال انداختن یک سطل است","3","3"
"166","4.7","دو نفر در اندازه بزرگ روی نیمکت پارک نشسته اند و یک بطری نوشابه بین خود دارند","دو فرد بزرگ روی نیمکت پارک نشسته اند و یک بطری نوشابه دارند","4","5"
"167","4.1","دو فرد بزرگ روی نیمکت پارک نشسته اند و یک بطری نوشابه دارند","دو فرد بزرگ نزدیک نیمکت پارک ایستاده اند و هیچ چیز بین آنها نیست","4","4"
"168","3.3","یک زن و مرد به راحتی روی نیمکت نشسته اند","دو نفر در اندازه بزرگ روی نیمکت پارک نشسته اند و یک بطری نوشابه بین خود دارند","5","3"
"169","3.7","مرد در حال رقابت برای برتری است","یک مرد مسابقه را رهبری می کند","0","4"
"170","3.1","چند مرد در یک مسابقه بیرون می دوند","یک مرد مسابقه را رهبری می کند","0","3"
"171","3.7","مردی عقب مسابقه را بزرگ می کند","چند مرد در یک مسابقه بیرون می دوند","0","4"
"172","3.8","چند مرد در یک مسابقه بیرون می دوند","یک مرد مسابقه را رهبری می کند","0","4"
"173","3.6","مردی با دوربین در حال مطالعه موضوع است","هیچ مردی با دوربین در حال مطالعه موضوع نیست","0","4"
"174","3.6","مردی با دوربین در حال مطالعه موضوع است","موضوع مورد مطالعه یک مرد دوربین است","5","4"
"175","4.9","مردی با کلاه بنفش رنگ شده دوربینی را کار می کند که فیلم می سازد","مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد","0","5"
"176","3.4","مردی با کلاه بنفش رنگ شده دوربینی را کار می کند که فیلم می سازد","مردی با دوربین در حال مطالعه موضوع است","0","3"
"177","3.2","مردی با دوربین در حال مطالعه موضوع است","مردی که کلاه بنفش دارد دوربینی که فیلم می سازد کار نمی کند","0","3"
"178","3.6","مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد","این موضوع توسط یک مرد با دوربین در حال بررسی است","4","4"
"179","3.2","مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد","هیچ مردی با دوربین در حال مطالعه موضوع نیست","0","3"
"180","2.8","موضوع مورد مطالعه یک مرد دوربین است","مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد","5","3"
"181","3.3","مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد","مردی با دوربین در حال مطالعه موضوع است","0","3"
"182","4.8","عروس و داماد بعد از ازدواج می روند","عروس و داماد بعد از عروسی در حال رفتن هستند","4","5"
"183","4.3","عروس و داماد پس از عروسی می رسند","عروس و داماد بعد از عروسی در حال رفتن هستند","4","4"
"184","4.4","یک زوج متاهل در حال عبور از راهرو هستند","یک زوج متاهل در حال گذر از راهرو هستند","4","4"
